Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,12650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279390
ЗП,,,12650.0,,,,,,,,266740.0,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,0.0,702.0,0.0,458.0,476.0,367.0,0.0,3029.0,712.0,329.0,25351.0,0.0,179.0,0.0,263.0,793.0,1009.0,391.0,0.0,0.0,563.0,0.0,400.0,245.0,0.0,240.0,4172.0,0.0,276.0,1146.0,0.0,41101
Квартира,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Долги/ОЧ,,,,,,,,,,,22000.0,,,,,,,,,,,,,,,,3950.0,,,,,25950
Алкоголь,,,,,209.0,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,300
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,250.0,,500
Таксі/поїздки,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,135
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,0.0,659.0,0.0,458.0,149.0,367.0,0.0,229.0,652.0,211.0,0.0,0.0,179.0,0.0,0.0,793.0,280.0,141.0,0.0,0.0,222.0,0.0,345.0,245.0,0.0,240.0,182.0,0.0,150.0,836.0,0.0,6338
Вулична їжа,,59.0,,,,,,,,,,,,,,145.0,,,,,,,,245.0,,,,,150.0,,,599
Продукти,,,,,149.0,367.0,,,89.0,,,,179.0,,,648.0,,141.0,,,222.0,,,,,240.0,,,,316.0,,2351
Кафе,,600.0,,458.0,,,,229.0,563.0,211.0,,,,,,,280.0,,,,,,345.0,,,,182.0,,,520.0,,3388
Макдоналдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,60.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,414
Кава (на вулиці),,43.0,,,43.0,,,,60.0,118.0,,,,,,,55.0,,,,,,55.0,,,,40.0,,,,,414
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,,,,,,,,,,,,,,,263.0,,674.0,,,,,,,,,,,,126.0,,,1063
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,115.0,,,,,,,,,,,,,,,,174.0,,,,,197.0,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
Стрижка,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,250
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Без категории,,,,,,,,2800.0,,,,,,,,,,,,,,,,,,,,,,,,2800
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3351
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,3351.0,,,,,,,,,,,,,,,,,,,,,3351
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238289
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
