Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ЗП,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Квартира,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Долги/ОЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Алкоголь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Таксі/поїздки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Вулична їжа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Продукти,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Кафе,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Доставка води,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Кава (на вулиці),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Стрижка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
