Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39935
ЗП,,,11200.0,,,,,,,,28735.0,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,350.0,258.0,608.0,4602.0,325.0,365.0,686.0,774.0,515.0,2008.0,1809.0,1168.0,1298.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18866
Квартира,,,,,,,,,,,,,1218.0,,4000.0,,,,,,,,,,,,,,,,,5218
Долги/ОЧ,,,,2697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697
Алкоголь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Зв'язок/інтернет,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,100
Таксі/поїздки,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,67
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,350.0,200.0,550.0,1383.0,325.0,365.0,520.0,774.0,515.0,250.0,260.0,200.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5772
Вулична їжа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Продукти,350.0,200.0,550.0,1383.0,325.0,365.0,400.0,774.0,515.0,250.0,260.0,,80.0,,,,,,,,,,,,,,,,,,,5452
Кафе,,,,,,,120.0,,,,,200.0,,,,,,,,,,,,,,,,,,,,320
Доставка води,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,55.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331
Кава (на вулиці),,58.0,58.0,,,,,,,,60.0,55.0,,,100.0,,,,,,,,,,,,,,,,,331
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,,,,522.0,,,166.0,,,,472.0,,,,,,,,,,,,,,,,,,,,,1160
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,,,,,,,,,,414.0,,,,,,,,,,,,,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
Стрижка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,84
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,1658.0,,829.0,,,,,,,,,,,,,,,,,,,,2487
Побутова техника,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,950.0,,,,,,,,,,,,,,,,,,,,,950
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
