Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,0.0,0.0,14480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42025
ЗП,,,,,14480.0,,,,,,,,,,,,27545.0,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,500.0,325.0,0.0,0.0,93.0,514.0,9660.0,360.0,0.0,0.0,502.0,404.0,387.0,924.0,0.0,0.0,6331.0,0.0,905.0,227.0,521.0,614.0,1352.0,477.0,1447.0,40.0,0.0,700.0,0.0,1993.0,0.0,28276
Квартира,,,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,3000
Долги/ОЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Алкоголь,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,700
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,250
Таксі/поїздки,,,,,,304.0,400.0,,,,,,,,,,,,,,,94.0,,,,,,,,,,798
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,0.0,270.0,0.0,0.0,0.0,210.0,564.0,0.0,0.0,0.0,441.0,125.0,387.0,924.0,0.0,0.0,0.0,0.0,705.0,0.0,171.0,520.0,83.0,0.0,402.0,0.0,0.0,0.0,0.0,269.0,0.0,5071
Вулична їжа,,270.0,,,,210.0,,,,,134.0,125.0,,,,,,,,,,,,,,,,,,,,739
Продукти,,,,,,,,,,,307.0,,,924.0,,,,,171.0,,171.0,,83.0,,,,,,,269.0,,1925
Кафе,,,,,,,437.0,,,,,,387.0,,,,,,534.0,,,520.0,,,402.0,,,,,,,2280
Макдоналдс,,,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,127
КАВА,0.0,55.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.0,0.0,65.0,0.0,0.0,0.0,0.0,130.0,0.0,580
Кава (на вулиці),,55.0,,,,,124.0,,,,61.0,,,,,,,,,,100.0,,45.0,,65.0,,,,,130.0,,580
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,500.0,,,,93.0,,,360.0,,,,279.0,,,,,,,,227.0,,,,,265.0,40.0,,,,,,1764
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,117.0,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,1224.0,477.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,2616
Стрижка,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,250
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,,,,,,,,200.0,,,,1224.0,227.0,715.0,,,,,,,2366
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,,,,,8572.0,,,,,,,,,,,,,,,,,,,,,,,1300.0,,9872
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,,294
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3331
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,,,,,,,3331.0,,,,,,,,,,,,,,,3331
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13749
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
