Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,15425.0,2269.0,0.0,0.0,0.0,0.0,0.0,28350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46044
ЗП,,,15425.0,,,,,,,28350.0,,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,2269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,1129.0,852.0,4256.0,3003.0,4849.0,1413.0,460.0,0.0,269.0,7100.0,3143.0,7023.0,6081.0,1234.0,133.0,0.0,305.0,0.0,0.0,1364.0,910.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1820.0,45644
Квартира,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Долги/ОЧ,,,,,,,,,,6200.0,,2618.0,,,,,,,,1364.0,,,,,,,,,,,,10182
Алкоголь,,,,,,,,,,,,,,666.0,,,,,,,,,,,,,,,,,,666
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Таксі/поїздки,84.0,100.0,95.0,,89.0,91.0,,,129.0,,143.0,96.0,173.0,,,,,,,,210.0,,,,,,,,,,,1210
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,145.0,213.0,870.0,75.0,687.0,174.0,60.0,0.0,140.0,127.0,0.0,0.0,298.0,568.0,78.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740
Вулична їжа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Продукти,145.0,213.0,690.0,75.0,687.0,174.0,60.0,,,127.0,,,298.0,,78.0,,,,,,,,,,,,,,,,,2547
Кафе,,,180.0,,,,,,140.0,,,,,568.0,,,305.0,,,,,,,,,,,,,,,1193
Макдоналдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,139.0,58.0,65.0,72.0,50.0,0.0,0.0,0.0,70.0,0.0,65.0,50.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624
Кава (на вулиці),,139.0,58.0,65.0,72.0,50.0,,,,70.0,,65.0,50.0,,55.0,,,,,,,,,,,,,,,,,624
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,,,719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,1089
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,1450
Підписки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НА СЕБЕ,900.0,0.0,1124.0,2863.0,1290.0,1098.0,400.0,0.0,0.0,0.0,0.0,0.0,2560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,11235
Стрижка,,,300.0,,,640.0,,,,,,,,,,,,,,,,,,,300.0,,,,,,,1240
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,2863.0,1290.0,458.0,400.0,,,,,,2560.0,,,,,,,,700.0,,,,,,,,,,,8271
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Спорт,900.0,,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,400.0,1390.0,,1850.0,,,,,703.0,3000.0,,3000.0,,,,,,,,,,,,,,,,,,,10343
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ІНШЕ,0.0,0.0,0.0,0.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5105
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,,4244.0,,,,,,,,,,,,,,,,,,,,4244
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,861
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
