Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,26530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41730
ЗП,,,,,,,,15200.0,,,,,,,26530.0,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,400.0,0.0,536.0,0.0,0.0,0.0,0.0,300.0,0.0,646.0,0.0,0.0,110.0,558.0,9661.0,0.0,3987.0,536.0,341.0,435.0,0.0,0.0,5725.0,665.0,0.0,0.0,270.0,202.0,714.0,0.0,0.0,25086
Квартира,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,,,,,,3000
Долги/ОЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Алкоголь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,300
Таксі/поїздки,,,,,,,,,,78.0,,,,,,,,,,,,,266.0,,,,,,,,,344
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,0.0,0.0,536.0,0.0,0.0,0.0,0.0,300.0,0.0,568.0,0.0,0.0,170.0,0.0,0.0,0.0,585.0,422.0,341.0,130.0,0.0,0.0,0.0,665.0,0.0,0.0,270.0,202.0,414.0,0.0,0.0,4603
Вулична їжа,,,59.0,,,,,,,,,,,,,,,,,130.0,,,,,,,270.0,,,,,459
Продукти,,,327.0,,,,,,,100.0,,,,,,,,,,,,,,120.0,,,,,414.0,,,961
Кафе,,,150.0,,,,,300.0,,468.0,,,170.0,,,,585.0,422.0,341.0,,,,,545.0,,,,202.0,,,,3183
Макдоналдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60
Кава (на вулиці),,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,,,,,-60
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,400.0,,,,,,,,,,,,,558.0,,,,114.0,,,,,,,,,,,,,,1072
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,114.0,,,,,,,,,,,,,,,,172.0,,,,,,193.0,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
Стрижка,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,250
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,,,,,,,,,,,,,,,3152.0,,,305.0,,,5459.0,,,,,,,,,8916
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661
Податки 5%,,,,,,,,,,,,,,,2436.0,,,,,,,,,,,,,,,,,2436
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,,,,,4225.0,,,,,,,,,,,,,,,,,4225
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
