Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ЗП,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,0.0,0.0,0.0,311.0,0.0,0.0,0.0,2660.0,200.0,0.0,17356.0,1350.0,2600.0,1079.0,1680.0,20920.0,2705.0,887.0,2056.0,1055.0,320.0,915.0,1979.0,0.0,661.0,705.0,2023.0,4085.0,1736.0,745.0,32.0,68060
Квартира,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,10000
Долги/ОЧ,,,,,,,,,,,,,,,,9842.0,,,,,,,,,,,,,,,,9842
Алкоголь,,,,,,,,,,,,,,,,,,,,,,,345.0,,,,,,,,,345
Зв'язок/інтернет,,,,,,,,,,,,200.0,,,,,,,,,,,1350.0,,,,,,,,,1550
Таксі/поїздки,,,,,,,,,,,,,,,,120.0,120.0,,,,,,,,,,62.0,,,,,302
Подарунки,,,,,,,,,,,,,200.0,,,249.0,,300.0,,,,,,,,,,,375.0,,,1124
ХАРЧУВАННЯ,0.0,0.0,0.0,311.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,326.0,530.0,1581.0,830.0,320.0,670.0,227.0,0.0,211.0,705.0,285.0,285.0,210.0,610.0,32.0,7473
Вулична їжа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Продукти,,,,,,,,160.0,,,,,,180.0,,,326.0,240.0,233.0,830.0,320.0,670.0,227.0,,211.0,63.0,,,,610.0,32.0,4102
Кафе,,,,311.0,,,,,,,,,,,,,,290.0,548.0,,,,,,,642.0,285.0,285.0,210.0,,,2571
Доставка води,,,,,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,800
КАВА,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,57.0,75.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,306
Кава (на вулиці),,,,,,,,,,,,,,,,,60.0,57.0,75.0,,,,57.0,,,,,,57.0,,,306
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,,,,,,,,,200.0,,,,,,,249.0,,,,,,,,,450.0,,176.0,,129.0,,,1204
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,417.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,4687
Стрижка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Одяг,,,,,,,,,,,,,,,,,332.0,,,,,,,,,,,,425.0,,,757
Медицина,,,,,,,,,,,,,,,,3600.0,85.0,,,,,,,,,,,,,,,3685
Бритви,,,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,245
Гелі/шампуні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Спорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,642
Порошок,,,,,,,,,,,,,,,,,282.0,,,,,,,,,,,,,,,282
Миючі засоби,,,,,,,,,,,,,,,,,,,,225.0,,,,,,,,,,135.0,,360
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,,,,,,2500.0,,,,1150.0,1600.0,899.0,1680.0,,1500.0,,400.0,,,,,,,,1500.0,3800.0,,,,15029
Без категории,,,,,,,,,,,,,800.0,,,120.0,,,,,,,,,,,,,540.0,,,1460
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7356.0,0.0,0.0,0.0,0.0,6740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14096
Податки 5%,,,,,,,,,,,7356.0,,,,,,,,,,,,,,,,,,,,,7356
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,,,,,,6740.0,,,,,,,,,,,,,,,,6740
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
