Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,14800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27720.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48520
ЗП,,14800.0,,,,,,,,27720.0,,,,,,,6000.0,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,1062.0,250.0,0.0,0.0,60.0,1187.0,0.0,336.0,7134.0,3472.0,1878.0,0.0,0.0,0.0,426.0,200.0,0.0,1561.0,110.0,30649.0,799.0,188.0,384.0,0.0,2434.0,1400.0,0.0,0.0,523.0,1144.0,0.0,55197
Квартира,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Долги/ОЧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Алкоголь,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,163
Зв'язок/інтернет,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,370.0,,490
Таксі/поїздки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Подарунки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ХАРЧУВАННЯ,687.0,250.0,0.0,0.0,0.0,376.0,0.0,336.0,0.0,0.0,446.0,0.0,0.0,0.0,426.0,0.0,0.0,155.0,0.0,149.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,523.0,774.0,0.0,4506
Вулична їжа,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,,,,,,155
Продукти,195.0,250.0,,,,,,336.0,,,232.0,,,,,,,,,149.0,,,384.0,,,,,,523.0,,,2069
Кафе,492.0,,,,,376.0,,,,,214.0,,,,426.0,,,,,,,,,,,,,,,774.0,,2282
Макдоналдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,0.0,0.0,0.0,60.0,52.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352
Кава (на вулиці),,,,,60.0,52.0,,,,,60.0,,,,,,,70.0,110.0,,,,,,,,,,,,,352
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,375.0,,,,,348.0,,,336.0,139.0,480.0,,,,,200.0,,,,,,188.0,,,,,,,,,,2066
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027
Стрижка,,,,,,,,,,,,,,,,,,,,,280.0,,,,,,,,,,,280
Одяг,,,,,,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,324
Медицина,,,,,,,,,,,,,,,,,,936.0,,,,,,,,,,,,,,936
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,87
Спорт,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,400
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,729.0,,,,,,,,,,,,,,,,,,,,,729
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,399.0,,,,,,,,,,,399
Побутова техника,,,,,,,,,,,,,,,,,,,,30500.0,,,,,1549.0,1400.0,,,,,,33449
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,885.0,,,,,,,885
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6798.0,3333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10131
Податки 5%,,,,,,,,,6798.0,,,,,,,,,,,,,,,,,,,,,,,6798
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,3333.0,,,,,,,,,,,,,,,,,,,,,,3333
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
