Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,УСЬОГО
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДОХОДЫ,0.0,0.0,0.0,0.0,0.0,14300.0,0.0,0.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42300
ЗП,,,,,,14300.0,,,,28000.0,,,,,,,,,,,,,,,,,,,,,,
Подарунок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж внесено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Інвестиції Binance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Облігації,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Акції,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Видатки,200.0,0.0,0.0,500.0,750.0,3000.0,2500.0,49556.0,0.0,0.0,5372.0,0.0,0.0,1000.0,0.0,0.0,400.0,0.0,1243.0,900.0,576.0,3480.0,423.0,789.0,840.0,0.0,0.0,420.0,6990.0,830.0,0.0,79769
Квартира,,,,,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,3000
Долги/ОЧ,,,,,,,,,,,,,,,,,,,,,,990.0,,789.0,,,,,,,,1779
Алкоголь,,,,,,,,,,,,,,,,,,,,,296.0,,243.0,,,,,,,,,539
Зв'язок/інтернет,,,,,350.0,,,,,,,,,,,,,,,,220.0,,,,,,,,,350.0,,920
Таксі/поїздки,,,,,,,,56.0,,,,,,,,,,,,,60.0,,,,,,,,190.0,,,306
Подарунки,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
ХАРЧУВАННЯ,200.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,60.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,420.0,0.0,480.0,0.0,2940
Вулична їжа,,,,,,,,,,,,,,,,,300.0,,,,,,180.0,,,,,,,,,480
Продукти,,,,,400.0,,,,,,900.0,,,,,,,,60.0,,,,,,,,,,,,,1360
Кафе,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,480.0,,1100
Макдоналдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
КАВА,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
Кава (на вулиці),,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,55
Кава (вдома),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ігри,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Розваги (каток, парки, кіно та інше)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Підписки,,,,,,,,,,,,,,,,,,,,,,,478.0,,,,,,,,,
НА СЕБЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,900.0,0.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,0.0,0.0,9156
Стрижка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Одяг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Медицина,,,,,,,,,,,,,,,,,,,,900.0,,1056.0,,,,,,,6800.0,,,8756
Бритви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Гелі/шампуні,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Спорт,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,400
ХІМІЯ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Порошок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Миючі засоби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Губки,спонжики",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Освіта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Побутова техника,,,,,,,2500.0,49500.0,,,,,,1000.0,,,100.0,,728.0,,,1434.0,,,840.0,,,,,,,56102
Без категории,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ІНШЕ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4472
Податки 5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Податки ЕСВ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52 челендж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Оплата Mate,,,,,,,,,,,4472.0,,,,,,,,,,,,,,,,,,,,,4472
Тварини,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Книги,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Хобби,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Aliexpress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Сигарети,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
УСЬОГО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 челендж накопичено,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
